物件ID,出展元,取得日,種別細目,種別コード,都道府県コード,市町村コード,町名コード,都道府県名,市町村名,町名,住所詳細,原本住所,物件名,部屋名,価格,旧価格,面積,地目,土地権利,用途地域,建ぺい率,容積率,建物面積,建築年月,"建物構造",間取り数,間取りタイプ,間取り詳細,備考,取引態様,transaction_type_code,駐車場,駐車料金,階数,総階数,現況,引渡し,引渡日,コメント,取扱業者,担当,広告,交通,道路,管理形態,総建物面積,バルコニー面積,管理費,積立金,登録日,確認日,価格変更日,URL,ペット可,建築条件,pic01,更新フラグ,新着フラグ
5535819282,ハトマークサイト,"2026-01-12 01:45:24",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,広島県福山市東深津町７丁目,売地,,120,300,208.85,畑,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,物件種目：売地,(株)瀬良商店,,,"東深津町一丁目停 徒歩5分",,,,,0,0,2025-07-02,2026-01-12,2025-10-22,https://www.hatomarksite.com/search/zentaku/bukken/5103616841,,,https://storage3.zentaku.or.jp/prod/034/100182/regsys/5103616841/image/5103616841_3995674290.jpg,0,0
5538761351,不動産ジャパン,"2026-01-12 03:57:11",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,広島県福山市東深津町７丁目,売地,,120,300,208.85,畑,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,売主,1,,,,,更地,,,"現況渡
セットバック要 11.88㎡
傾斜地　【法令上の制限：宅地造成法規制区域、農地法５条の届出必要、セットバック有り】
",（株）瀬良商店,,,"東深津町一丁目バス停 徒歩5分","一方道路
 西 幅3.4m 公道 接面39.6m",,,,0,0,2025-07-03,2026-01-12,2025-10-23,https://www.fudousan.or.jp/property/detail?p_no=000012508674,,,https://storage3.zentaku.or.jp/prod/034/100182/regsys/5103616841/image/5103616841_3995674290.jpg,0,0
5536197350,ライフルホームズ,"2026-01-12 07:28:37",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,広島県福山市東深津町７丁目,土地,,120,300,208.85,畑,所有権,第一種中高層住居専用,60,200,,,,,,,,売主(自社物),,その他,,,,更地,相談,,深津隧道の上、北側になります。傾斜地,株式会社瀬良商店,,,"バス 東深津町一丁目下車 徒歩5分",一方,,,,,,2025-07-02,2026-01-05,2025-10-22,https://www.homes.co.jp/tochi/b-32122140000254/,0,0,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3212214%2Fsale%2F254%2F2%2F2%2Ffqb5.jpg&width=208&height=138,0,0
5551553968,アットホーム,"2026-01-12 01:23:33",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,福山市東深津町７丁目,土地,,120,300,208.85,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
","(株)瀬良商店（ＪＲ山陽本線/福山 徒歩10分）",,,"【バス】東深津町一丁目 停歩5分",,,,,,,2025-07-09,2026-01-12,2025-10-22,https://www.athome.co.jp/tochi/6986863423/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
5797477056,Yahoo!不動産,"2026-01-12 01:18:51",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町6丁目,"いろどりアイタウン 福山市西深津町6丁目",,3490,,134.20,,,,,,102.68,,,4,LDK,,,,,,,,2,,,,,"株式会社アイダ設計 福山店",,,"山陽本線（JR西日本） 「福山」駅 バス12分 三吉町北 バス停下車 徒歩12分 他",,,,,,,2025-10-26,2026-01-12,,https://realestate.yahoo.co.jp/new/house/detail_corp/b0024166798/,,,https://realestate-pctr.c.yimg.jp/ds/realestate-buy-image/bld_image/00/2416/6798/0026/22e0e6b341ddaf422f629b3a97452774_01_01.jpg?q=65&nf_src=sy&nf_path=/images/realestate/img/common/noimage/288x288.png&w=175&h=132,,0
5841783171,ライフルホームズ,"2026-01-12 00:37:18",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町6丁目200番6　他,新築戸建,,3490,,134.20,,,,,,102.68,,,4,LDK,,,,1,,,,2,,,,,株式会社アイダ設計,,,"JR山陽本線「福山」駅 バス乗車12分、三吉町北バス停下車 徒歩12分
         ",,,,,,,2025-11-14,2026-01-12,,https://www.homes.co.jp/kodate/b-17003770005159/,,0,https://image2.homes.jp/smallimg/image.php?file=%2Fdata%2F1700377%2Fsale%2Fimage%2F0005159-1.jpg,,0
5538324022,SUUMO,"2026-01-12 01:54:30",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６,土地,,1972,,176.36,,,,,,,,,,,,,,,,,,,,,,【西深津小学校まで約580ｍ】,タナカホームズ防府店田中建設(株),,TEL:083-976-6980,ＪＲ山陽本線「福山」徒歩35分,,,,,,,2025-07-03,2026-01-12,,https://suumo.jp/tochi/hiroshima/sc_fukuyama/nc_77469284/,,1,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F284%2F77469284%2F77469284_0027.jpg&w=192&h=144,,0
5807115709,SUUMO,"2026-01-12 01:58:30",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６,新築戸建,,3490,,134.00,,,,,,102.68,,,4,LDK,,,,,,,,,,,,＼スミタス　キャンペーン♪／　詳細は、プレゼント情報欄をご確認下さい！,SUMiTAS神辺店(株)ケイアイ不動産販売,,TEL:084-966-3931,ＪＲ山陽本線「福山」徒歩34分,,,,,,,2025-10-30,2026-01-12,,https://suumo.jp/ikkodate/hiroshima/sc_fukuyama/nc_78687200/,,,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F200%2F78687200%2F78687200_0012.jpg&w=192&h=144,,0
5692013872,SUUMO,"2026-01-12 01:57:36",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６-199番2,新築戸建,,4690,,181.40,,,,,,59.62,,,3,LDK,,,,,,,,,,,,【西深津小学校まで約５８０ｍ】,タナカホームズ防府店田中建設(株),,TEL:083-976-6980,ＪＲ山陽本線「福山」徒歩35分,,,,,,,2025-09-09,2026-01-12,,https://suumo.jp/ikkodate/hiroshima/sc_fukuyama/nc_78256783/,,,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F783%2F78256783%2F78256783_0001.jpg&w=192&h=144,,0
5853775088,SUUMO,"2026-01-12 01:58:25",1201,12,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６-200番6　他,新築戸建,,3490,,134.20,,,,,,102.68,,,4,LDK,,,,,,,,,,,,【当社売主】◇全居室南向き！庭付きオール電化住宅◇小中学校徒歩8分圏内◎,(株)アイダ設計福山店,,TEL:0120-907918,ＪＲ山陽本線「福山」バス12分停歩12分,,,,,,,2025-11-19,2026-01-12,,https://suumo.jp/ikkodate/hiroshima/sc_fukuyama/nc_78792276/,,,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F276%2F78792276%2F78792276_0035.jpg&w=192&h=144,,0
